"transaction_id","amount","hour","region","account_age_days","failed_attempts","type","user_fraud_count","is_fraud"
"TXN00000","21282.63","18","Lagos",149,"0","payment","3",False
"TXN00001","19434.87","7","Lagos",308,"0","payment","2",False
"TXN00002","45570.23","14","Nairobi",99,"0","withdrawal","1",False
"TXN00003","6485.54","9","Lagos",107,"0","payment","1",False
"TXN00004","46007.09","3","Nairobi",327,"0","withdrawal","1",False
"TXN00005","10224.54","4","Nairobi",47,"0","deposit","3",False
"TXN00006","3419.21","2","Nairobi",362,"0","withdrawal","2",False
"TXN00007","49340.21","13","Lagos",116,"0","payment","1",False
"TXN00008","27888.67","9","Nairobi",192,"0","payment","2",False
"TXN00009","27034.40","23","Nairobi",229,"0","withdrawal","1",False
"TXN00010","16303.33","9","Lagos",214,"0","withdrawal","0",False
"TXN00011","18180.16","7","Cape Town",285,"0","withdrawal","5",False
"TXN00012","33728.92","6","Cape Town",82,"0","deposit","2",True
"TXN00013","5833.24","14","Lagos",180,"0","payment","2",False
"TXN00014","46883.33","19","Lagos",75,"0","payment","4",True
"TXN00015","17599.67","21","Lagos",310,"0","withdrawal","1",False
"TXN00016","6580.39","10","Nairobi",100,"0","deposit","0",False
"TXN00017","7325.49","13","Nairobi",106,"0","withdrawal","1",False
"TXN00018","47299.44","13","Lagos",364,"0","payment","1",False
"TXN00019","9081.90","12","Lagos",269,"0","withdrawal","1",False
"TXN00020","23539.01","5","Cape Town",197,"0","deposit","1",False
"TXN00021","22599.53","0","Lagos",120,"0","payment","3",False
"TXN00022","3897.96","13","Lagos",280,"0","payment","1",False
"TXN00023","18141.44","4","Lagos",250,"0","payment","2",False
"TXN00024","31676.73","8","Cape Town",124,"0","payment","2",True
"TXN00025","38978.76","5","Cape Town",63,"0","payment","5",True
"TXN00026","6427.37","17","Lagos",143,"0","deposit","2",False
"TXN00027","27929.04","9","Nairobi",292,"0","payment","1",False
"TXN00028","33965.07","21","Cape Town",173,"0","payment","2",False
"TXN00029","25931.23","19","Cape Town",68,"0","payment","1",False
"TXN00030","45808.97","12","Cape Town",63,"0","payment","2",False
"TXN00031","44764.08","10","Nairobi",252,"0","withdrawal","0",False
"TXN00032","2261.54","5","Nairobi",155,"0","deposit","2",False
"TXN00033","35943.81","15","Cape Town",248,"0","payment","3",False
"TXN00034","10435.28","12","Cape Town",93,"0","payment","0",False
"TXN00035","6264.69","19","Lagos",310,"0","payment","1",False
"TXN00036","39911.00","1","Cape Town",119,"0","deposit","2",True
"TXN00037","49756.80","22","Cape Town",344,"0","withdrawal","2",True
"TXN00038","41391.22","0","Nairobi",220,"0","payment","1",False
"TXN00039","32184.56","0","Cape Town",356,"0","withdrawal","1",False
"TXN00040","31629.59","10","Nairobi",141,"0","withdrawal","0",False
