transaction_id,user_id,amount,timestamp,type,region,is_fraud
TXN00000,USR394,21282.63,2025-03-05 18:00:00,payment,Lagos,0
TXN00001,USR515,19434.87,2025-03-22 07:00:00,payment,Lagos,0
TXN00002,USR744,45570.23,2025-03-22 14:00:00,withdrawal,Nairobi,0
TXN00003,USR738,6485.54,2025-03-06 09:00:00,payment,Lagos,0
TXN00004,USR328,46007.09,2025-03-18 03:00:00,withdrawal,Nairobi,0
TXN00005,USR828,10224.54,2025-03-07 04:00:00,deposit,Nairobi,0
TXN00006,USR697,3419.21,2025-03-21 02:00:00,withdrawal,Nairobi,0
TXN00007,USR216,49340.21,2025-03-12 13:00:00,payment,Lagos,0
TXN00008,USR720,27888.67,2025-03-15 09:00:00,payment,Nairobi,0
TXN00009,USR978,27034.4,2025-03-27 23:00:00,withdrawal,Nairobi,0
TXN00010,USR602,16303.33,2025-03-06 09:00:00,withdrawal,Lagos,0
TXN00011,USR491,18180.16,2025-03-06 07:00:00,withdrawal,Cape Town,0
TXN00012,USR290,33728.92,2025-03-01 06:00:00,deposit,Cape Town,1
TXN00013,USR251,5833.24,2025-03-09 14:00:00,payment,Lagos,0
TXN00014,USR803,46883.33,2025-03-11 19:00:00,payment,Lagos,1
TXN00015,USR704,17599.67,2025-03-27 21:00:00,withdrawal,Lagos,0
TXN00016,USR626,6580.39,2025-03-19 10:00:00,deposit,Nairobi,0
TXN00017,USR236,7325.49,2025-03-25 13:00:00,withdrawal,Nairobi,0
TXN00018,USR284,47299.44,2025-03-29 13:00:00,payment,Lagos,0
TXN00019,USR335,9081.9,2025-03-12 12:00:00,withdrawal,Lagos,0
TXN00020,USR692,23539.01,2025-03-12 05:00:00,deposit,Cape Town,0
TXN00021,USR983,22599.53,2025-03-25 00:00:00,payment,Lagos,0
TXN00022,USR622,3897.96,2025-03-29 13:00:00,payment,Lagos,0
TXN00023,USR706,18141.44,2025-03-09 04:00:00,payment,Lagos,0
TXN00024,USR834,31676.73,2025-03-19 08:00:00,payment,Cape Town,1
TXN00025,USR806,38978.76,2025-03-01 05:00:00,payment,Cape Town,1
TXN00026,USR329,6427.37,2025-03-07 17:00:00,deposit,Lagos,0
TXN00027,USR339,27929.04,2025-03-26 09:00:00,payment,Nairobi,0
TXN00028,USR546,33965.07,2025-03-22 21:00:00,payment,Cape Town,0
TXN00029,USR689,25931.23,2025-03-01 19:00:00,payment,Cape Town,0
TXN00030,USR565,45808.97,2025-03-03 12:00:00,payment,Cape Town,0
TXN00031,USR204,44764.08,2025-03-30 10:00:00,withdrawal,Nairobi,0
TXN00032,USR607,2261.54,2025-03-25 05:00:00,deposit,Nairobi,0
TXN00033,USR868,35943.81,2025-03-05 15:00:00,payment,Cape Town,0
TXN00034,USR657,10435.28,2025-03-05 12:00:00,payment,Cape Town,0
TXN00035,USR655,6264.69,2025-03-20 19:00:00,payment,Lagos,0
TXN00036,USR154,39911.0,2025-03-25 01:00:00,deposit,Cape Town,1
TXN00037,USR455,49756.8,2025-03-24 22:00:00,withdrawal,Cape Town,1
TXN00038,USR541,41391.22,2025-03-14 00:00:00,payment,Nairobi,0
TXN00039,USR169,32184.56,2025-03-25 00:00:00,withdrawal,Cape Town,0
TXN00040,USR606,31629.59,2025-03-12 10:00:00,withdrawal,Nairobi,0
TXN00041,USR172,37014.88,2025-03-05 07:00:00,withdrawal,Lagos,1
TXN00042,USR970,6312.32,2025-03-28 00:00:00,withdrawal,Lagos,0
TXN00043,USR992,11664.4,2025-03-04 12:00:00,withdrawal,Lagos,0
TXN00044,USR394,34433.41,2025-03-05 04:00:00,withdrawal,Lagos,1
TXN00045,USR518,1735.62,2025-03-16 17:00:00,payment,Nairobi,0
TXN00046,USR148,4800.66,2025-03-07 12:00:00,payment,Cape Town,0
TXN00047,USR237,45918.77,2025-03-03 00:00:00,deposit,Lagos,0
TXN00048,USR884,13814.3,2025-03-26 08:00:00,withdrawal,Nairobi,0
TXN00049,USR216,21288.85,2025-03-21 07:00:00,withdrawal,Nairobi,0
TXN00050,USR993,7250.76,2025-03-18 02:00:00,payment,Cape Town,0
TXN00051,USR753,7960.83,2025-03-04 01:00:00,payment,Lagos,0
TXN00052,USR627,7923.72,2025-03-09 08:00:00,withdrawal,Lagos,0
TXN00053,USR986,27367.5,2025-03-25 06:00:00,withdrawal,Lagos,0
TXN00054,USR264,10170.19,2025-03-07 17:00:00,deposit,Cape Town,0
TXN00055,USR914,26596.17,2025-03-27 07:00:00,deposit,Nairobi,0
TXN00056,USR389,37889.48,2025-03-15 13:00:00,payment,Cape Town,0
TXN00057,USR279,31486.77,2025-03-03 18:00:00,withdrawal,Nairobi,0
TXN00058,USR510,2665.35,2025-03-11 00:00:00,deposit,Cape Town,0
TXN00059,USR283,34731.92,2025-03-30 03:00:00,payment,Lagos,0
TXN00060,USR764,9691.51,2025-03-18 03:00:00,payment,Nairobi,0
TXN00061,USR275,3023.65,2025-03-20 17:00:00,withdrawal,Lagos,0
TXN00062,USR906,29683.35,2025-03-18 08:00:00,withdrawal,Cape Town,0
TXN00063,USR296,44497.15,2025-03-18 15:00:00,payment,Nairobi,0
TXN00064,USR535,19974.37,2025-03-23 00:00:00,deposit,Cape Town,0
TXN00065,USR813,46139.9,2025-03-04 07:00:00,withdrawal,Lagos,1
TXN00066,USR672,30483.95,2025-03-28 21:00:00,withdrawal,Nairobi,1
TXN00067,USR495,23685.3,2025-03-05 11:00:00,deposit,Lagos,0
TXN00068,USR626,13110.01,2025-03-25 01:00:00,payment,Cape Town,0
TXN00069,USR234,22906.08,2025-03-16 01:00:00,payment,Nairobi,0
TXN00070,USR182,15629.8,2025-03-24 05:00:00,payment,Nairobi,0
TXN00071,USR499,39223.9,2025-03-27 15:00:00,withdrawal,Lagos,0
TXN00072,USR678,34658.37,2025-03-27 01:00:00,payment,Nairobi,1
TXN00073,USR930,25755.75,2025-03-02 15:00:00,deposit,Nairobi,0
TXN00074,USR886,15831.74,2025-03-23 13:00:00,payment,Cape Town,0
TXN00075,USR205,19907.51,2025-03-01 05:00:00,withdrawal,Lagos,0
TXN00076,USR451,9396.9,2025-03-25 02:00:00,payment,Nairobi,0
TXN00077,USR247,46825.85,2025-03-27 00:00:00,payment,Cape Town,1
TXN00078,USR112,12164.45,2025-03-15 01:00:00,deposit,Lagos,0
TXN00079,USR759,9579.16,2025-03-02 08:00:00,withdrawal,Cape Town,0
TXN00080,USR677,29261.98,2025-03-27 15:00:00,withdrawal,Cape Town,0
TXN00081,USR417,34963.07,2025-03-28 18:00:00,payment,Lagos,0
TXN00082,USR614,38183.41,2025-03-01 04:00:00,payment,Cape Town,1
TXN00083,USR198,38191.69,2025-03-22 10:00:00,withdrawal,Nairobi,0
TXN00084,USR670,25484.89,2025-03-06 02:00:00,withdrawal,Lagos,0
TXN00085,USR721,13782.62,2025-03-10 06:00:00,payment,Nairobi,0
TXN00086,USR998,19920.98,2025-03-13 04:00:00,deposit,Cape Town,0
TXN00087,USR472,15744.73,2025-03-05 08:00:00,deposit,Lagos,0
TXN00088,USR100,27452.8,2025-03-13 00:00:00,deposit,Cape Town,0
TXN00089,USR925,19858.36,2025-03-27 17:00:00,withdrawal,Nairobi,0
TXN00090,USR670,6523.68,2025-03-01 06:00:00,payment,Nairobi,0
TXN00091,USR625,15848.08,2025-03-28 15:00:00,payment,Nairobi,0
TXN00092,USR793,19283.81,2025-03-30 02:00:00,payment,Cape Town,0
TXN00093,USR892,18494.01,2025-03-17 09:00:00,payment,Lagos,0
TXN00094,USR132,11662.82,2025-03-26 03:00:00,payment,Cape Town,0
TXN00095,USR549,39523.17,2025-03-27 10:00:00,withdrawal,Nairobi,1
TXN00096,USR321,33471.6,2025-03-05 21:00:00,withdrawal,Lagos,0
TXN00097,USR855,33435.78,2025-03-20 23:00:00,payment,Cape Town,0
