user_id,account_age_days,avg_transaction_value
USR100,74,15532.97
USR101,357,14468.89
USR102,129,12657.6
USR103,48,7082.07
USR104,256,14871.66
USR105,105,16616.64
USR106,295,5415.89
USR107,224,18431.43
USR108,98,5248.21
USR109,194,13030.3
USR110,227,11278.28
USR111,220,7738.09
USR112,90,6232.92
USR113,104,15096.17
USR114,266,4065.08
USR115,194,9287.81
USR116,85,2802.63
USR117,298,3865.29
USR118,136,6950.55
USR119,126,8692.36
USR120,106,15268.29
USR121,249,12917.61
USR122,185,7069.0
USR123,52,10063.21
USR124,120,10705.21
USR125,88,16880.73
USR126,165,6834.26
USR127,174,7848.18
USR128,59,13340.65
USR129,134,6133.5
USR130,263,15285.2
USR131,74,12857.22
USR132,247,2644.0
USR133,215,3009.29
USR134,288,8940.04
USR135,343,12780.33
USR136,343,5641.94
USR137,229,2284.86
USR138,307,12804.02
USR139,103,4072.24
USR140,188,5223.25
USR141,31,9696.21
USR142,341,3732.08
USR143,85,7012.7
USR144,235,18707.45
USR145,327,4492.78
USR146,188,16019.42
USR147,68,4424.73
USR148,281,16566.57
USR149,299,18479.06
USR150,152,13401.45
USR151,292,2430.19
USR152,344,18107.38
USR153,136,3823.7
USR154,119,7793.56
USR155,206,16335.63
USR156,322,14268.14
USR157,104,5298.96
USR158,291,16084.73
USR159,34,18611.73
USR160,269,11651.39
USR161,123,5656.26
USR162,66,5169.72
USR163,194,13669.1
USR164,313,13840.89
USR165,135,5189.57
USR166,285,12326.82
USR167,250,9201.33
USR168,39,2222.77
USR169,356,15534.33
USR170,249,6135.15
USR171,33,5955.05
USR172,178,16931.99
USR173,62,9850.92
USR174,95,9518.84
USR175,286,4847.37
USR176,102,14180.12
USR177,150,11267.46
USR178,345,12525.72
USR179,175,18605.06
USR180,109,5750.81
USR181,186,12609.54
USR182,62,4215.74
USR183,236,18350.69
USR184,100,19613.88
USR185,144,3426.2
USR186,276,10802.21
USR187,245,11017.33
USR188,55,10760.98
USR189,199,13379.29
USR190,216,10525.87
USR191,250,10510.78
USR192,300,6482.6
USR193,192,6298.97
USR194,335,10898.52
USR195,153,14023.8
USR196,111,15025.14
USR197,182,2677.12
USR198,185,2017.31
USR199,78,2866.41
USR200,143,3604.4
USR201,320,18930.75
USR202,201,17351.12
USR203,63,9155.0
USR204,252,14737.28
USR205,93,10603.26
USR206,40,5975.22
USR207,327,9177.86
USR208,183,15761.09
USR209,96,12024.99
USR210,53,9723.39
USR211,216,17682.19
USR212,266,14072.57
USR213,165,16386.22
USR214,120,10861.59
USR215,32,9271.88
USR216,116,12157.14
USR217,184,17668.87
USR218,299,19555.62
USR219,44,13615.46
USR220,156,16105.78
USR221,123,9234.67
USR222,257,7329.34
USR223,155,19959.2
USR224,188,2119.07
USR225,116,3952.95
USR226,147,16718.55
USR227,308,16425.39
USR228,283,16533.18
USR229,34,14084.89
USR230,36,8918.23
USR231,157,5972.2
USR232,79,18300.06
USR233,173,19301.52
USR234,250,5070.3
USR235,268,11768.41
USR236,106,6141.35
USR237,240,18746.72
USR238,39,6893.51
USR239,202,6936.29
USR240,112,16217.07
USR241,334,17067.56
USR242,143,12744.2
USR243,183,17507.7
USR244,146,11895.43
USR245,256,14732.03
USR246,271,15873.78
USR247,285,15283.42
USR248,311,6213.32
USR249,64,10213.91
USR250,235,8177.02
USR251,180,16973.75
USR252,246,16004.61
USR253,348,9491.66
USR254,37,11220.59
USR255,119,18081.65
USR256,248,17369.04
USR257,147,3484.48
USR258,229,2316.0
USR259,235,13104.66
USR260,198,5066.99
USR261,277,3466.73
USR262,308,3787.96
USR263,260,11953.91
USR264,252,13980.63
USR265,232,12082.59
USR266,308,5868.39
USR267,174,17675.23
USR268,270,18638.84
USR269,33,4247.6
USR270,223,14782.05
USR271,182,7301.21
USR272,58,7744.87
USR273,98,7888.32
USR274,223,12337.24
USR275,72,4663.23
USR276,107,16910.58
USR277,293,9151.09
USR278,107,5110.1
USR279,103,16693.99
USR280,299,4605.19
USR281,205,16633.63
USR282,36,10634.64
USR283,77,18941.53
USR284,364,5508.43
USR285,266,9947.89
USR286,114,14749.17
USR287,124,3529.55
USR288,94,7952.13
USR289,125,15136.25
USR290,82,10564.97
USR291,345,5794.39
USR292,55,7390.0
USR293,323,15912.56
USR294,249,8990.85
USR295,339,3515.22
USR296,102,13785.06
USR297,244,8342.89
USR298,217,3693.2
USR299,46,3872.23
USR300,51,11603.89
USR301,339,8009.11
USR302,109,12726.89
USR303,279,19754.13
USR304,179,8696.43
USR305,31,13761.67
USR306,88,3360.52
USR307,128,11154.38
USR308,328,18079.35
USR309,315,17226.85
USR310,273,13389.49
USR311,272,11830.04
USR312,361,4906.2
USR313,130,5829.74
USR314,143,16968.83
USR315,51,18416.85
USR316,137,17464.68
USR317,216,4681.24
USR318,45,4102.19
USR319,263,6926.52
USR320,68,7989.66
USR321,361,13756.95
USR322,249,17687.98
USR323,298,2835.14
USR324,190,17573.74
USR325,257,8834.46
USR326,168,19452.4
USR327,184,9732.48
USR328,327,19127.88
USR329,143,16203.45
USR330,244,14313.46
USR331,153,5901.47
USR332,310,8805.85
USR333,282,16199.3
USR334,227,17622.17
USR335,269,8144.69
USR336,105,13175.81
USR337,151,4349.45
USR338,248,7833.05
USR339,292,10876.67
USR340,36,7087.85
USR341,319,3850.73
USR342,301,17926.46
USR343,45,2722.83
USR344,162,9867.38
USR345,231,15930.1
USR346,120,7330.02
USR347,299,10508.18
USR348,152,8324.03
USR349,113,12974.41
USR350,150,13586.77
USR351,38,6216.09
USR352,339,18182.13
USR353,121,16119.63
USR354,279,14104.43
USR355,147,17570.57
USR356,106,12488.13
USR357,232,4846.74
USR358,337,16962.12
USR359,284,17229.18
USR360,63,6927.97
USR361,306,11298.38
USR362,87,4685.19
USR363,56,8852.16
USR364,159,5320.83
USR365,296,14513.51
USR366,103,14055.81
USR367,279,15322.23
USR368,199,17530.47
USR369,226,19542.57
USR370,73,11308.36
USR371,274,17307.1
USR372,136,9977.94
USR373,129,11976.98
USR374,104,16012.17
USR375,210,18170.83
USR376,75,5550.08
USR377,360,11876.11
USR378,307,7231.06
USR379,129,2164.75
USR380,83,18797.04
USR381,301,17467.22
USR382,280,13777.79
USR383,66,19984.53
USR384,321,12237.22
USR385,91,2749.15
USR386,88,17360.83
USR387,178,11829.04
USR388,130,12110.78
USR389,344,11990.78
USR390,31,4196.68
USR391,348,11626.68
USR392,124,16773.67
USR393,253,18244.04
USR394,149,10672.59
USR395,66,19562.03
USR396,296,11066.67
USR397,315,10232.99
USR398,323,5430.53
USR399,229,5474.03
USR400,280,9702.18
USR401,236,14138.16
USR402,149,7327.65
USR403,289,15634.78
USR404,323,19031.13
USR405,327,3465.66
USR406,180,18409.13
USR407,124,2070.84
USR408,240,6068.09
USR409,196,6849.22
USR410,336,11999.14
USR411,123,14038.86
USR412,35,6954.12
USR413,93,3678.12
USR414,101,16438.61
USR415,174,7372.88
USR416,324,5128.95
USR417,308,19341.92
USR418,239,10597.75
USR419,134,19789.88
USR420,317,2883.85
USR421,104,18733.94
USR422,289,14334.14
USR423,100,13786.23
USR424,308,18816.55
USR425,197,6921.85
USR426,296,7931.37
USR427,156,7140.67
USR428,72,8806.62
USR429,301,19968.32
USR430,350,4119.7
USR431,132,10550.11
USR432,207,19085.41
USR433,285,6037.69
USR434,285,10793.05
USR435,350,11530.69
USR436,171,4083.66
USR437,132,10598.34
USR438,343,9443.46
USR439,102,6454.43
USR440,153,18889.76
USR441,55,7374.48
USR442,355,18327.83
USR443,180,15999.21
USR444,227,7731.35
USR445,133,5954.69
USR446,298,5128.58
USR447,249,4031.05
USR448,174,11888.63
USR449,137,3456.87
USR450,279,19850.01
USR451,193,19931.2
USR452,130,14612.92
USR453,64,4086.33
USR454,243,19376.89
USR455,344,10450.86
USR456,299,19199.54
USR457,217,10080.88
USR458,126,13220.57
USR459,279,18493.46
USR460,348,2490.01
USR461,136,2491.58
USR462,142,14688.96
USR463,92,10823.67
USR464,82,5011.5
USR465,197,19879.05
USR466,64,18971.31
USR467,31,10074.9
USR468,357,6816.37
USR469,156,13128.63
USR470,130,6881.24
USR471,203,8108.72
USR472,30,18096.39
USR473,229,19581.23
